City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Riyadh,SA,75.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
4,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Rikitea,PF,73.02,moderate rain,-23.1203,-134.9692,People ThankYou
13,Autazes,BR,76.08,broken clouds,-3.5797,-59.1306,Hotel Tupinambá
17,Kapaa,US,75.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Kavieng,PG,83.75,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
30,Guangzhou,CN,78.75,few clouds,23.1167,113.25,Shangjiuwan Hotel
37,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
40,Hithadhoo,MV,84.25,broken clouds,-0.6,73.0833,Scoop Guest House
41,Victoria,HK,81.32,few clouds,22.2855,114.1577,Mini Hotel Central
43,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
46,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
49,Ca Mau,VN,79.43,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
50,San Quintin,MX,71.28,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
53,Tomatlan,MX,83.05,clear sky,19.9333,-105.25,El Salvial
55,Manado,ID,79.57,few clouds,1.487,124.8455,Aryaduta Hotel
57,Makakilo City,US,80.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
59,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
63,Bengkulu,ID,75.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Moerai,PF,78.31,scattered clouds,-22.4333,-151.3333,Le Manotel
68,Cabedelo,BR,78.21,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
69,Isangel,VU,77.59,overcast clouds,-19.55,169.2667,Tanna Lodge
75,Saravena,CO,76.98,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
83,Kendari,ID,76.96,heavy intensity rain,-3.945,122.4989,Hotel Wixel
84,Gat,IL,76.41,broken clouds,31.61,34.7642,OlusHome
86,Butaritari,KI,81.34,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
89,Mahebourg,MU,74.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
90,Carnarvon,AU,72.68,few clouds,-24.8667,113.6333,Hospitality Carnarvon
94,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
95,Ahuimanu,US,81.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
96,Bani,DO,81.84,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
97,San Jose,US,80.69,clear sky,37.3394,-121.895,The Westin San Jose
98,Bang Lamung,TH,84.31,broken clouds,13.047,100.9289,เซอรีน แซนด์ส เฮลท์ รีสอร์ท - Serene Sands Health Resort
102,Atuona,PF,79.39,few clouds,-9.8,-139.0333,Villa Enata
103,Miramar,US,81.01,broken clouds,25.9873,-80.2323,Stadium Hotel
105,Bucyrus,US,79.84,overcast clouds,40.8084,-82.9755,"Holiday Inn Express & Suites Bucyrus, an IHG Hotel"
106,Arraial Do Cabo,BR,75.54,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
108,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
110,Lorengau,PG,83.21,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
118,Gladstone,AU,72.79,overcast clouds,-23.85,151.25,Highpoint International Hotel
119,Sinnamary,GF,78.31,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
121,Saint George,US,72.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
122,North Las Vegas,US,80.15,clear sky,36.1989,-115.1175,Lucky Club Hotel & Casino
123,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
125,Kirakira,SB,84.6,scattered clouds,-10.4544,161.9205,SanBiz Lodge
126,Marsh Harbour,BS,74.41,clear sky,26.5412,-77.0636,Abaco Beach Resort
129,Damghan,IR,70.75,overcast clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
135,Ugoofaaru,MV,83.93,overcast clouds,5.6667,73.0,Ungoofaaru Inn
136,Inirida,CO,75.13,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
137,Mucuri,BR,79.12,clear sky,-18.0864,-39.5508,La Bodeguita Pousada
140,Sabang,ID,83.01,broken clouds,5.8933,95.3214,Hotel Citra
144,Vanimo,PG,79.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
145,Saint-Georges,GD,78.75,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
148,Guerrero Negro,MX,73.08,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
149,Morant Bay,JM,75.7,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
152,Ciudad Ojeda,VE,82.27,broken clouds,10.1964,-71.3082,Hotel América
153,Quelimane,MZ,71.8,scattered clouds,-17.8786,36.8883,Hotel Flamingo
154,Mabaruma,GY,76.15,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
156,Hilo,US,79.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
158,Suclayin,PH,79.02,broken clouds,15.7568,121.5503,Costa Pacifica
