City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,57.61,73,78,5.55,light rain
1,Port Hardy,CA,50.6996,-127.4199,48.38,87,75,18.41,light rain
2,Coquimbo,CL,-29.9533,-71.3436,58.73,88,75,6.91,broken clouds
3,Riyadh,SA,24.6877,46.7219,75.34,45,95,13.27,overcast clouds
4,Vaini,TO,-21.2,-175.2,82.56,74,75,4.61,broken clouds
5,Hailar,CN,49.2,119.7,38.28,41,100,9.35,overcast clouds
6,Aitape,PG,-3.1374,142.3475,80.28,85,88,3.94,overcast clouds
7,Hobart,AU,-42.8794,147.3294,55.26,90,75,1.01,broken clouds
8,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,90,14.03,light rain
9,Rikitea,PF,-23.1203,-134.9692,73.02,89,100,16.44,moderate rain
10,Mataura,NZ,-46.1927,168.8643,54.48,86,93,8.1,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,57.49,70,0,10.36,clear sky
12,Nikolskoye,RU,59.7035,30.7861,44.87,95,100,7.63,light rain
13,Autazes,BR,-3.5797,-59.1306,76.08,96,59,2.77,broken clouds
14,Pevek,RU,69.7008,170.3133,10.65,92,93,2.68,overcast clouds
15,Ribeira Grande,PT,38.5167,-28.7,58.93,75,15,15.55,few clouds
16,Provideniya,RU,64.3833,-173.3,35.71,60,0,4.47,clear sky
17,Kapaa,US,22.0752,-159.319,75.47,82,23,5.01,few clouds
18,Albany,US,42.6001,-73.9662,64.54,39,49,8.01,scattered clouds
19,Esperance,AU,-33.8667,121.9,55.24,88,31,10.0,scattered clouds
20,Nicolas De Pierola,PE,-11.95,-76.7,53.89,79,47,3.76,scattered clouds
21,Bilibino,RU,68.0546,166.4372,17.91,81,82,3.85,broken clouds
22,Ushuaia,AR,-54.8,-68.3,42.46,61,0,6.91,clear sky
23,Kavieng,PG,-2.5744,150.7967,83.75,71,100,7.61,overcast clouds
24,Rio Gallegos,AR,-51.6226,-69.2181,44.65,93,100,11.5,drizzle
25,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,0,6.91,clear sky
26,Saskylakh,RU,71.9167,114.0833,0.7,100,96,1.5,overcast clouds
27,Omsukchan,RU,62.5333,155.8,22.5,90,100,5.5,light snow
28,Tazovskiy,RU,67.4667,78.7,-9.56,100,86,4.85,overcast clouds
29,Lata,PT,40.1629,-8.3327,52.07,95,76,1.14,broken clouds
30,Guangzhou,CN,23.1167,113.25,78.75,79,19,8.19,few clouds
31,Cape Town,ZA,-33.9258,18.4232,58.12,83,40,9.22,scattered clouds
32,Busselton,AU,-33.65,115.3333,66.38,52,99,12.06,overcast clouds
33,Tiksi,RU,71.6872,128.8694,2.46,98,99,1.79,overcast clouds
34,Jamestown,US,42.097,-79.2353,69.26,72,82,7.49,broken clouds
35,Westport,US,41.1415,-73.3579,55.94,55,27,5.01,scattered clouds
36,Kamenka,RU,51.3223,42.7678,51.24,80,86,9.98,overcast clouds
37,Avarua,CK,-21.2078,-159.775,80.65,83,40,11.5,light rain
38,Saravan,AM,39.7196,45.6483,50.72,62,100,4.38,overcast clouds
39,Hermanus,ZA,-34.4187,19.2345,58.91,75,82,4.88,light rain
40,Hithadhoo,MV,-0.6,73.0833,84.25,72,63,8.81,broken clouds
41,Victoria,HK,22.2855,114.1577,81.32,87,12,5.99,few clouds
42,Marsa Matruh,EG,31.3525,27.2453,62.8,88,40,9.22,scattered clouds
43,Kahului,US,20.8947,-156.47,80.96,80,28,13.0,scattered clouds
44,Shillong,IN,25.5689,91.8831,60.48,81,56,6.64,broken clouds
45,Flinders,AU,-34.5833,150.8552,64.18,92,99,7.0,light rain
46,Cap Malheureux,MU,-19.9842,57.6142,74.46,73,100,10.0,overcast clouds
47,Baker City,US,44.7749,-117.8344,61.59,31,40,5.86,scattered clouds
48,Whitecourt,CA,54.1502,-115.6855,59.2,35,55,11.25,broken clouds
49,Ca Mau,VN,9.1769,105.15,79.43,86,52,3.0,broken clouds
50,San Quintin,MX,30.4833,-115.95,71.28,43,0,12.86,clear sky
51,Halifax,CA,44.6453,-63.5724,38.34,76,53,13.0,broken clouds
52,Cidreira,BR,-30.1811,-50.2056,69.04,84,1,19.84,clear sky
53,Tomatlan,MX,19.9333,-105.25,83.05,46,1,9.71,clear sky
54,Mar Del Plata,AR,-38.0023,-57.5575,68.02,78,0,13.0,clear sky
55,Manado,ID,1.487,124.8455,79.57,89,20,2.3,few clouds
56,Lebu,CL,-37.6167,-73.65,52.0,77,69,9.1,broken clouds
57,Makakilo City,US,21.3469,-158.0858,80.56,54,11,19.24,few clouds
58,Tekeli,KZ,44.83,78.8239,48.76,88,100,4.29,overcast clouds
59,Georgetown,MY,5.4112,100.3354,80.53,99,20,2.3,few clouds
60,Talnakh,RU,69.4865,88.3972,-5.8,99,91,4.38,overcast clouds
61,Torbay,CA,47.6666,-52.7314,36.28,96,100,9.22,light intensity drizzle
62,Medyn,RU,54.9692,35.8586,41.49,98,77,4.45,broken clouds
63,Bengkulu,ID,-3.8004,102.2655,75.42,89,100,4.14,overcast clouds
64,Usinsk,RU,65.9939,57.5281,20.16,98,52,6.91,broken clouds
65,Moerai,PF,-22.4333,-151.3333,78.31,74,25,19.44,scattered clouds
66,Upernavik,GL,72.7868,-56.1549,4.42,91,17,8.57,few clouds
67,Jinchang,CN,38.4953,102.1739,60.76,26,89,9.93,overcast clouds
68,Cabedelo,BR,-6.9811,-34.8339,78.21,83,45,10.94,scattered clouds
69,Isangel,VU,-19.55,169.2667,77.59,71,99,17.96,overcast clouds
70,Clyde River,CA,70.4692,-68.5914,7.03,92,100,4.61,light snow
71,Nagato,JP,34.3833,131.2,59.2,82,22,5.23,few clouds
72,Dikson,RU,73.5069,80.5464,6.76,94,96,13.98,overcast clouds
73,East London,ZA,-33.0153,27.9116,62.15,71,88,13.09,overcast clouds
74,Barrow,US,71.2906,-156.7887,19.78,88,100,9.78,overcast clouds
75,Saravena,CO,6.9538,-71.8752,76.98,84,68,2.42,broken clouds
76,Cherskiy,RU,68.75,161.3,17.62,86,97,5.75,overcast clouds
77,Gorele,TR,41.0308,39.0031,55.4,75,1,3.24,clear sky
78,Yellowknife,CA,62.456,-114.3525,35.56,51,14,15.99,few clouds
79,Castro,BR,-24.7911,-50.0119,61.52,89,1,5.39,clear sky
80,Narsaq,GL,60.9167,-46.05,43.02,88,100,3.15,overcast clouds
81,Ilulissat,GL,69.2167,-51.1,26.62,93,100,3.44,light snow
82,Carballo,ES,43.213,-8.691,53.87,93,90,3.67,overcast clouds
83,Kendari,ID,-3.945,122.4989,76.96,92,92,1.5,heavy intensity rain
84,Gat,IL,31.61,34.7642,76.41,100,80,3.69,broken clouds
85,Eureka,US,40.8021,-124.1637,69.67,72,2,7.0,clear sky
86,Butaritari,KI,3.0707,172.7902,81.34,76,100,10.42,overcast clouds
87,Kaitangata,NZ,-46.2817,169.8464,55.63,78,94,15.59,overcast clouds
88,Kifri,IQ,34.6959,44.9661,63.81,65,65,4.63,light rain
89,Mahebourg,MU,-20.4081,57.7,74.25,68,100,15.99,overcast clouds
90,Carnarvon,AU,-24.8667,113.6333,72.68,65,22,8.39,few clouds
91,Luderitz,NA,-26.6481,15.1594,55.54,64,0,18.66,clear sky
92,Tuatapere,NZ,-46.1333,167.6833,57.13,77,86,9.22,overcast clouds
93,Qaanaaq,GL,77.484,-69.3632,3.36,71,82,5.64,broken clouds
94,Cayenne,GF,4.9333,-52.3333,81.09,1,20,3.44,few clouds
95,Ahuimanu,US,21.4447,-157.8378,81.75,65,12,8.01,few clouds
96,Bani,DO,18.2833,-70.3333,81.84,70,69,11.95,broken clouds
97,San Jose,US,37.3394,-121.895,80.69,35,0,12.66,clear sky
98,Bang Lamung,TH,13.047,100.9289,84.31,71,60,8.5,broken clouds
99,Erenhot,CN,43.6475,111.9767,61.18,20,52,22.26,broken clouds
100,Nanortalik,GL,60.1432,-45.2371,36.72,93,99,1.28,overcast clouds
101,Airai,TL,-8.9266,125.4092,63.46,58,64,1.36,broken clouds
102,Atuona,PF,-9.8,-139.0333,79.39,74,15,17.69,few clouds
103,Miramar,US,25.9873,-80.2323,81.01,71,54,5.01,broken clouds
104,Tasiilaq,GL,65.6145,-37.6368,32.16,67,48,3.65,scattered clouds
105,Bucyrus,US,40.8084,-82.9755,79.84,65,100,16.44,overcast clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,77,48,12.37,scattered clouds
107,Salta,AR,-24.7859,-65.4117,67.57,82,6,4.0,clear sky
108,Grand Gaube,MU,-20.0064,57.6608,74.37,73,100,10.0,overcast clouds
109,Avera,US,33.194,-82.5271,80.55,58,28,5.64,scattered clouds
110,Lorengau,PG,-2.0226,147.2712,83.21,74,57,7.61,broken clouds
111,Punta Arenas,CL,-53.15,-70.9167,44.71,81,100,10.36,moderate rain
112,Bethel,US,41.3712,-73.414,57.34,58,33,3.0,scattered clouds
113,Port-Gentil,GA,-0.7193,8.7815,76.96,100,20,2.3,few clouds
114,Srednekolymsk,RU,67.45,153.6833,18.54,90,100,13.76,overcast clouds
115,Bluff,NZ,-46.6,168.3333,55.8,80,91,29.64,overcast clouds
116,Lesnikovo,RU,55.2822,65.3175,40.96,43,70,7.61,broken clouds
117,Coihaique,CL,-45.5752,-72.0662,39.15,87,100,4.61,light intensity shower rain
118,Gladstone,AU,-23.85,151.25,72.79,68,99,16.11,overcast clouds
119,Sinnamary,GF,5.3833,-52.95,78.31,90,91,9.62,overcast clouds
